player_id,club_logo,player_name,team,goals,xgoals,assists,year
gOMn6eOBMw,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/0KPqjA456v.png,Timo Werner,Tom/Calen/Witty,0,0.0,0,2026
KXMekX42q6,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/Z2vQ1xlqrA.png,Dejan Joveljić,Tom/Calen/Witty,0,0.2624,0,2026
ljqEJonzQx,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/9z5k7Yg5A3.png,Bruno Damiani,Tom/Calen/Witty,0,0.11850000000000001,0,2026
jYQJznrBQG,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/APk5LGOMOW.png,Prince Owusu,Tom/Calen/Witty,0,0.124,0,2026
aDQ0PZY3QE,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/NPqxKXZ59d.png,Pep Biel,Tom/Calen/Witty,1,0.2076,0,2026
xW5pr1oYQg,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/kRQabn8MKZ.png,Josh Sargent,Tom/Calen/Witty,0,0.0,0,2026
NWMWL3nL5l,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/lgpMOvnQzy.png,Mathías Laborda,Tom/Calen/Witty,0,0.0826,0,2026
,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/kRQand1MKZ.png,James Rodríguez,Admin,0,0.0,0,2026
zeQZKbYMKw,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/zeQZkL1MKw.png,Luis Suárez,Admin,0,0.0,0,2026
BLMv1GlQxe,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/jYQJ19EqGR.png,Albert Rusnák,Admin,0,0.0,0,2026
7VqG0ZGYQv,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/a2lqR4JMr0.png,Diego Luna,Admin,0,0.0,0,2026
vzqorrRk5a,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/19vQ2095K6.png,Carles Gil,Admin,0,0.0,1,2026
Oa5wVYvWM1,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/YgOMngl5wN.png,Ezequiel Ponce,Admin,0,0.24350000000000002,0,2026
vzqo7o4kqa,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/9z5k7Yg5A3.png,Milan Iloski,Admin,0,0.2827,0,2026
2lqRked4Qr,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/wvq9B9wQWn.png,Eduard Löwen,Admin,0,0.0,0,2026
aDQ0PnvBQE,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/kRQabn8MKZ.png,Djordje Mihalovic,Admin,1,0.4136,0,2026
2lqRkZXDQr,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/vzqoOgNqap.png,Cristian Espinoza,Admin,0,0.0,0,2026
wvq9gPmNMW,https://american-soccer-analysis-headshots.s3.amazonaws.com/club_logos/X0Oq66zq6D.png,Jack Elliot,Admin,0,0.0,0,2026
